Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
FeLyDu		<img src="D-FeLyDu-minor-first inversion-keyboard-2.png">	<img src="D-FeLyDu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="D-FeLyDu-minor-first inversion-keyboard-coloured-2.png">	<img src="D-FeLyDu-minor-first inversion-pianoroll-coloured-2.png">	root	DuFiLu	<img src="D-DuFiLu-minor-root-keyboard-coloured-2.png">	second inversion	LyDuFi	<img src="D-LyDuFi-minor-second inversion-keyboard-coloured-2.png">
JoPeDu		<img src="D-JoPeDu-augmented-first inversion-keyboard-2.png">	<img src="D-JoPeDu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="D-JoPeDu-augmented-first inversion-keyboard-coloured-2.png">	<img src="D-JoPeDu-augmented-first inversion-pianoroll-coloured-2.png">	root	DuJaPi	<img src="D-DuJaPi-augmented-root-keyboard-coloured-2.png">	second inversion	PeDuJa	<img src="D-PeDuJa-augmented-second inversion-keyboard-coloured-2.png">
FeRyoDu		<img src="D-FeRyoDu-diminished-first inversion-keyboard-2.png">	<img src="D-FeRyoDu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="D-FeRyoDu-diminished-first inversion-keyboard-coloured-2.png">	<img src="D-FeRyoDu-diminished-first inversion-pianoroll-coloured-2.png">	root	DuFiRya	<img src="D-DuFiRya-diminished-root-keyboard-coloured-2.png">	second inversion	RyoDuFi	<img src="D-RyoDuFi-diminished-second inversion-keyboard-coloured-2.png">
LyDuJa		<img src="D-LyDuJa-major-second inversion-keyboard-2.png">	<img src="D-LyDuJa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="D-LyDuJa-major-second inversion-keyboard-coloured-2.png">	<img src="D-LyDuJa-major-second inversion-pianoroll-coloured-2.png">	root	DuJaLu	<img src="D-DuJaLu-major-root-keyboard-coloured-2.png">	first inversion	JoLyDu	<img src="D-JoLyDu-major-first inversion-keyboard-coloured-2.png">
LyDuFi		<img src="D-LyDuFi-minor-second inversion-keyboard-2.png">	<img src="D-LyDuFi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="D-LyDuFi-minor-second inversion-keyboard-coloured-2.png">	<img src="D-LyDuFi-minor-second inversion-pianoroll-coloured-2.png">	root	DuFiLu	<img src="D-DuFiLu-minor-root-keyboard-coloured-2.png">	first inversion	FeLyDu	<img src="D-FeLyDu-minor-first inversion-keyboard-coloured-2.png">
PeDuJa		<img src="D-PeDuJa-augmented-second inversion-keyboard-2.png">	<img src="D-PeDuJa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="D-PeDuJa-augmented-second inversion-keyboard-coloured-2.png">	<img src="D-PeDuJa-augmented-second inversion-pianoroll-coloured-2.png">	root	DuJaPi	<img src="D-DuJaPi-augmented-root-keyboard-coloured-2.png">	first inversion	JoPeDu	<img src="D-JoPeDu-augmented-first inversion-keyboard-coloured-2.png">
RyoDuFi		<img src="D-RyoDuFi-diminished-second inversion-keyboard-2.png">	<img src="D-RyoDuFi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="D-RyoDuFi-diminished-second inversion-keyboard-coloured-2.png">	<img src="D-RyoDuFi-diminished-second inversion-pianoroll-coloured-2.png">	root	DuFiRya	<img src="D-DuFiRya-diminished-root-keyboard-coloured-2.png">	first inversion	FeRyoDu	<img src="D-FeRyoDu-diminished-first inversion-keyboard-coloured-2.png">
NuGaPu		<img src="N-NuGaPu-major-root-keyboard-2.png">	<img src="N-NuGaPu-major-root-pianoroll-2.png">	major root	<img src="N-NuGaPu-major-root-keyboard-coloured-2.png">	<img src="N-NuGaPu-major-root-pianoroll-coloured-2.png">	first inversion	GoPyNu	<img src="N-GoPyNu-major-first inversion-keyboard-coloured-2.png">	second inversion	PyNuGa	<img src="N-PyNuGa-major-second inversion-keyboard-coloured-2.png">
NuJiPu		<img src="N-NuJiPu-minor-root-keyboard-2.png">	<img src="N-NuJiPu-minor-root-pianoroll-2.png">	minor root	<img src="N-NuJiPu-minor-root-keyboard-coloured-2.png">	<img src="N-NuJiPu-minor-root-pianoroll-coloured-2.png">	first inversion	JePyNu	<img src="N-JePyNu-minor-first inversion-keyboard-coloured-2.png">	second inversion	PyNuJi	<img src="N-PyNuJi-minor-second inversion-keyboard-coloured-2.png">
NuGaBi		<img src="N-NuGaBi-augmented-root-keyboard-2.png">	<img src="N-NuGaBi-augmented-root-pianoroll-2.png">	augmented root	<img src="N-NuGaBi-augmented-root-keyboard-coloured-2.png">	<img src="N-NuGaBi-augmented-root-pianoroll-coloured-2.png">	first inversion	GoBeNu	<img src="N-GoBeNu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	BeNuGa	<img src="N-BeNuGa-augmented-second inversion-keyboard-coloured-2.png">
