Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
LuKiNya		<img src="L-LuKiNya-diminished-root-keyboard-2.png">	<img src="L-LuKiNya-diminished-root-pianoroll-2.png">	diminished root	<img src="L-LuKiNya-diminished-root-keyboard-coloured-2.png">	<img src="L-LuKiNya-diminished-root-pianoroll-coloured-2.png">	first inversion	KeNyoLu	<img src="L-KeNyoLu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	NyoLuKi	<img src="L-NyoLuKi-diminished-second inversion-keyboard-coloured-2.png">
ToMyLu		<img src="L-ToMyLu-major-first inversion-keyboard-2.png">	<img src="L-ToMyLu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="L-ToMyLu-major-first inversion-keyboard-coloured-2.png">	<img src="L-ToMyLu-major-first inversion-pianoroll-coloured-2.png">	root	LuTaMu	<img src="L-LuTaMu-major-root-keyboard-coloured-2.png">	second inversion	MyLuTa	<img src="L-MyLuTa-major-second inversion-keyboard-coloured-2.png">
KeMyLu		<img src="L-KeMyLu-minor-first inversion-keyboard-2.png">	<img src="L-KeMyLu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="L-KeMyLu-minor-first inversion-keyboard-coloured-2.png">	<img src="L-KeMyLu-minor-first inversion-pianoroll-coloured-2.png">	root	LuKiMu	<img src="L-LuKiMu-minor-root-keyboard-coloured-2.png">	second inversion	MyLuKi	<img src="L-MyLuKi-minor-second inversion-keyboard-coloured-2.png">
ToFeLu		<img src="L-ToFeLu-augmented-first inversion-keyboard-2.png">	<img src="L-ToFeLu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="L-ToFeLu-augmented-first inversion-keyboard-coloured-2.png">	<img src="L-ToFeLu-augmented-first inversion-pianoroll-coloured-2.png">	root	LuTaFi	<img src="L-LuTaFi-augmented-root-keyboard-coloured-2.png">	second inversion	FeLuTa	<img src="L-FeLuTa-augmented-second inversion-keyboard-coloured-2.png">
KeNyoLu		<img src="L-KeNyoLu-diminished-first inversion-keyboard-2.png">	<img src="L-KeNyoLu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="L-KeNyoLu-diminished-first inversion-keyboard-coloured-2.png">	<img src="L-KeNyoLu-diminished-first inversion-pianoroll-coloured-2.png">	root	LuKiNya	<img src="L-LuKiNya-diminished-root-keyboard-coloured-2.png">	second inversion	NyoLuKi	<img src="L-NyoLuKi-diminished-second inversion-keyboard-coloured-2.png">
MyLuTa		<img src="L-MyLuTa-major-second inversion-keyboard-2.png">	<img src="L-MyLuTa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="L-MyLuTa-major-second inversion-keyboard-coloured-2.png">	<img src="L-MyLuTa-major-second inversion-pianoroll-coloured-2.png">	root	LuTaMu	<img src="L-LuTaMu-major-root-keyboard-coloured-2.png">	first inversion	ToMyLu	<img src="L-ToMyLu-major-first inversion-keyboard-coloured-2.png">
MyLuKi		<img src="L-MyLuKi-minor-second inversion-keyboard-2.png">	<img src="L-MyLuKi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="L-MyLuKi-minor-second inversion-keyboard-coloured-2.png">	<img src="L-MyLuKi-minor-second inversion-pianoroll-coloured-2.png">	root	LuKiMu	<img src="L-LuKiMu-minor-root-keyboard-coloured-2.png">	first inversion	KeMyLu	<img src="L-KeMyLu-minor-first inversion-keyboard-coloured-2.png">
FeLuTa		<img src="L-FeLuTa-augmented-second inversion-keyboard-2.png">	<img src="L-FeLuTa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="L-FeLuTa-augmented-second inversion-keyboard-coloured-2.png">	<img src="L-FeLuTa-augmented-second inversion-pianoroll-coloured-2.png">	root	LuTaFi	<img src="L-LuTaFi-augmented-root-keyboard-coloured-2.png">	first inversion	ToFeLu	<img src="L-ToFeLu-augmented-first inversion-keyboard-coloured-2.png">
NyoLuKi		<img src="L-NyoLuKi-diminished-second inversion-keyboard-2.png">	<img src="L-NyoLuKi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="L-NyoLuKi-diminished-second inversion-keyboard-coloured-2.png">	<img src="L-NyoLuKi-diminished-second inversion-pianoroll-coloured-2.png">	root	LuKiNya	<img src="L-LuKiNya-diminished-root-keyboard-coloured-2.png">	first inversion	KeNyoLu	<img src="L-KeNyoLu-diminished-first inversion-keyboard-coloured-2.png">
PuDaFu		<img src="P-PuDaFu-major-root-keyboard-2.png">	<img src="P-PuDaFu-major-root-pianoroll-2.png">	major root	<img src="P-PuDaFu-major-root-keyboard-coloured-2.png">	<img src="P-PuDaFu-major-root-pianoroll-coloured-2.png">	first inversion	DoFyPu	<img src="P-DoFyPu-major-first inversion-keyboard-coloured-2.png">	second inversion	FyPuDa	<img src="P-FyPuDa-major-second inversion-keyboard-coloured-2.png">
PuTiFu		<img src="P-PuTiFu-minor-root-keyboard-2.png">	<img src="P-PuTiFu-minor-root-pianoroll-2.png">	minor root	<img src="P-PuTiFu-minor-root-keyboard-coloured-2.png">	<img src="P-PuTiFu-minor-root-pianoroll-coloured-2.png">	first inversion	TeFyPu	<img src="P-TeFyPu-minor-first inversion-keyboard-coloured-2.png">	second inversion	FyPuTi	<img src="P-FyPuTi-minor-second inversion-keyboard-coloured-2.png">
PuDaJi		<img src="P-PuDaJi-augmented-root-keyboard-2.png">	<img src="P-PuDaJi-augmented-root-pianoroll-2.png">	augmented root	<img src="P-PuDaJi-augmented-root-keyboard-coloured-2.png">	<img src="P-PuDaJi-augmented-root-pianoroll-coloured-2.png">	first inversion	DoJePu	<img src="P-DoJePu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	JePuDa	<img src="P-JePuDa-augmented-second inversion-keyboard-coloured-2.png">
PuTiMya		<img src="P-PuTiMya-diminished-root-keyboard-2.png">	<img src="P-PuTiMya-diminished-root-pianoroll-2.png">	diminished root	<img src="P-PuTiMya-diminished-root-keyboard-coloured-2.png">	<img src="P-PuTiMya-diminished-root-pianoroll-coloured-2.png">	first inversion	TeMyoPu	<img src="P-TeMyoPu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	MyoPuTi	<img src="P-MyoPuTi-diminished-second inversion-keyboard-coloured-2.png">
DoFyPu		<img src="P-DoFyPu-major-first inversion-keyboard-2.png">	<img src="P-DoFyPu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="P-DoFyPu-major-first inversion-keyboard-coloured-2.png">	<img src="P-DoFyPu-major-first inversion-pianoroll-coloured-2.png">	root	PuDaFu	<img src="P-PuDaFu-major-root-keyboard-coloured-2.png">	second inversion	FyPuDa	<img src="P-FyPuDa-major-second inversion-keyboard-coloured-2.png">
TeFyPu		<img src="P-TeFyPu-minor-first inversion-keyboard-2.png">	<img src="P-TeFyPu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="P-TeFyPu-minor-first inversion-keyboard-coloured-2.png">	<img src="P-TeFyPu-minor-first inversion-pianoroll-coloured-2.png">	root	PuTiFu	<img src="P-PuTiFu-minor-root-keyboard-coloured-2.png">	second inversion	FyPuTi	<img src="P-FyPuTi-minor-second inversion-keyboard-coloured-2.png">
DoJePu		<img src="P-DoJePu-augmented-first inversion-keyboard-2.png">	<img src="P-DoJePu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="P-DoJePu-augmented-first inversion-keyboard-coloured-2.png">	<img src="P-DoJePu-augmented-first inversion-pianoroll-coloured-2.png">	root	PuDaJi	<img src="P-PuDaJi-augmented-root-keyboard-coloured-2.png">	second inversion	JePuDa	<img src="P-JePuDa-augmented-second inversion-keyboard-coloured-2.png">
TeMyoPu		<img src="P-TeMyoPu-diminished-first inversion-keyboard-2.png">	<img src="P-TeMyoPu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="P-TeMyoPu-diminished-first inversion-keyboard-coloured-2.png">	<img src="P-TeMyoPu-diminished-first inversion-pianoroll-coloured-2.png">	root	PuTiMya	<img src="P-PuTiMya-diminished-root-keyboard-coloured-2.png">	second inversion	MyoPuTi	<img src="P-MyoPuTi-diminished-second inversion-keyboard-coloured-2.png">
FyPuDa		<img src="P-FyPuDa-major-second inversion-keyboard-2.png">	<img src="P-FyPuDa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="P-FyPuDa-major-second inversion-keyboard-coloured-2.png">	<img src="P-FyPuDa-major-second inversion-pianoroll-coloured-2.png">	root	PuDaFu	<img src="P-PuDaFu-major-root-keyboard-coloured-2.png">	first inversion	DoFyPu	<img src="P-DoFyPu-major-first inversion-keyboard-coloured-2.png">
FyPuTi		<img src="P-FyPuTi-minor-second inversion-keyboard-2.png">	<img src="P-FyPuTi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="P-FyPuTi-minor-second inversion-keyboard-coloured-2.png">	<img src="P-FyPuTi-minor-second inversion-pianoroll-coloured-2.png">	root	PuTiFu	<img src="P-PuTiFu-minor-root-keyboard-coloured-2.png">	first inversion	TeFyPu	<img src="P-TeFyPu-minor-first inversion-keyboard-coloured-2.png">
JePuDa		<img src="P-JePuDa-augmented-second inversion-keyboard-2.png">	<img src="P-JePuDa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="P-JePuDa-augmented-second inversion-keyboard-coloured-2.png">	<img src="P-JePuDa-augmented-second inversion-pianoroll-coloured-2.png">	root	PuDaJi	<img src="P-PuDaJi-augmented-root-keyboard-coloured-2.png">	first inversion	DoJePu	<img src="P-DoJePu-augmented-first inversion-keyboard-coloured-2.png">
MyoPuTi		<img src="P-MyoPuTi-diminished-second inversion-keyboard-2.png">	<img src="P-MyoPuTi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="P-MyoPuTi-diminished-second inversion-keyboard-coloured-2.png">	<img src="P-MyoPuTi-diminished-second inversion-pianoroll-coloured-2.png">	root	PuTiMya	<img src="P-PuTiMya-diminished-root-keyboard-coloured-2.png">	first inversion	TeMyoPu	<img src="P-TeMyoPu-diminished-first inversion-keyboard-coloured-2.png">
BuNaJu		<img src="B-BuNaJu-major-root-keyboard-2.png">	<img src="B-BuNaJu-major-root-pianoroll-2.png">	major root	<img src="B-BuNaJu-major-root-keyboard-coloured-2.png">	<img src="B-BuNaJu-major-root-pianoroll-coloured-2.png">	first inversion	NoJyBu	<img src="B-NoJyBu-major-first inversion-keyboard-coloured-2.png">	second inversion	JyBuNa	<img src="B-JyBuNa-major-second inversion-keyboard-coloured-2.png">
BuDiJu		<img src="B-BuDiJu-minor-root-keyboard-2.png">	<img src="B-BuDiJu-minor-root-pianoroll-2.png">	minor root	<img src="B-BuDiJu-minor-root-keyboard-coloured-2.png">	<img src="B-BuDiJu-minor-root-pianoroll-coloured-2.png">	first inversion	DeJyBu	<img src="B-DeJyBu-minor-first inversion-keyboard-coloured-2.png">	second inversion	JyBuDi	<img src="B-JyBuDi-minor-second inversion-keyboard-coloured-2.png">
BuNaGi		<img src="B-BuNaGi-augmented-root-keyboard-2.png">	<img src="B-BuNaGi-augmented-root-pianoroll-2.png">	augmented root	<img src="B-BuNaGi-augmented-root-keyboard-coloured-2.png">	<img src="B-BuNaGi-augmented-root-pianoroll-coloured-2.png">	first inversion	NoGeBu	<img src="B-NoGeBu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	GeBuNa	<img src="B-GeBuNa-augmented-second inversion-keyboard-coloured-2.png">
BuDiFya		<img src="B-BuDiFya-diminished-root-keyboard-2.png">	<img src="B-BuDiFya-diminished-root-pianoroll-2.png">	diminished root	<img src="B-BuDiFya-diminished-root-keyboard-coloured-2.png">	<img src="B-BuDiFya-diminished-root-pianoroll-coloured-2.png">	first inversion	DeFyoBu	<img src="B-DeFyoBu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	FyoBuDi	<img src="B-FyoBuDi-diminished-second inversion-keyboard-coloured-2.png">
NoJyBu		<img src="B-NoJyBu-major-first inversion-keyboard-2.png">	<img src="B-NoJyBu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="B-NoJyBu-major-first inversion-keyboard-coloured-2.png">	<img src="B-NoJyBu-major-first inversion-pianoroll-coloured-2.png">	root	BuNaJu	<img src="B-BuNaJu-major-root-keyboard-coloured-2.png">	second inversion	JyBuNa	<img src="B-JyBuNa-major-second inversion-keyboard-coloured-2.png">
DeJyBu		<img src="B-DeJyBu-minor-first inversion-keyboard-2.png">	<img src="B-DeJyBu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="B-DeJyBu-minor-first inversion-keyboard-coloured-2.png">	<img src="B-DeJyBu-minor-first inversion-pianoroll-coloured-2.png">	root	BuDiJu	<img src="B-BuDiJu-minor-root-keyboard-coloured-2.png">	second inversion	JyBuDi	<img src="B-JyBuDi-minor-second inversion-keyboard-coloured-2.png">
NoGeBu		<img src="B-NoGeBu-augmented-first inversion-keyboard-2.png">	<img src="B-NoGeBu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="B-NoGeBu-augmented-first inversion-keyboard-coloured-2.png">	<img src="B-NoGeBu-augmented-first inversion-pianoroll-coloured-2.png">	root	BuNaGi	<img src="B-BuNaGi-augmented-root-keyboard-coloured-2.png">	second inversion	GeBuNa	<img src="B-GeBuNa-augmented-second inversion-keyboard-coloured-2.png">
DeFyoBu		<img src="B-DeFyoBu-diminished-first inversion-keyboard-2.png">	<img src="B-DeFyoBu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="B-DeFyoBu-diminished-first inversion-keyboard-coloured-2.png">	<img src="B-DeFyoBu-diminished-first inversion-pianoroll-coloured-2.png">	root	BuDiFya	<img src="B-BuDiFya-diminished-root-keyboard-coloured-2.png">	second inversion	FyoBuDi	<img src="B-FyoBuDi-diminished-second inversion-keyboard-coloured-2.png">
JyBuNa		<img src="B-JyBuNa-major-second inversion-keyboard-2.png">	<img src="B-JyBuNa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="B-JyBuNa-major-second inversion-keyboard-coloured-2.png">	<img src="B-JyBuNa-major-second inversion-pianoroll-coloured-2.png">	root	BuNaJu	<img src="B-BuNaJu-major-root-keyboard-coloured-2.png">	first inversion	NoJyBu	<img src="B-NoJyBu-major-first inversion-keyboard-coloured-2.png">
JyBuDi		<img src="B-JyBuDi-minor-second inversion-keyboard-2.png">	<img src="B-JyBuDi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="B-JyBuDi-minor-second inversion-keyboard-coloured-2.png">	<img src="B-JyBuDi-minor-second inversion-pianoroll-coloured-2.png">	root	BuDiJu	<img src="B-BuDiJu-minor-root-keyboard-coloured-2.png">	first inversion	DeJyBu	<img src="B-DeJyBu-minor-first inversion-keyboard-coloured-2.png">
GeBuNa		<img src="B-GeBuNa-augmented-second inversion-keyboard-2.png">	<img src="B-GeBuNa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="B-GeBuNa-augmented-second inversion-keyboard-coloured-2.png">	<img src="B-GeBuNa-augmented-second inversion-pianoroll-coloured-2.png">	root	BuNaGi	<img src="B-BuNaGi-augmented-root-keyboard-coloured-2.png">	first inversion	NoGeBu	<img src="B-NoGeBu-augmented-first inversion-keyboard-coloured-2.png">
FyoBuDi		<img src="B-FyoBuDi-diminished-second inversion-keyboard-2.png">	<img src="B-FyoBuDi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="B-FyoBuDi-diminished-second inversion-keyboard-coloured-2.png">	<img src="B-FyoBuDi-diminished-second inversion-pianoroll-coloured-2.png">	root	BuDiFya	<img src="B-BuDiFya-diminished-root-keyboard-coloured-2.png">	first inversion	DeFyoBu	<img src="B-DeFyoBu-diminished-first inversion-keyboard-coloured-2.png">
